Coffe_Malt	Chocolat	Gold	Medium_Barley	Dark_Barley	Dandelion	Beets	Chicory_Roots	Figs	Dates	Cacao	Grease on top	Floral_aroma	Musty/Earthy	Roasted Grains	Roasted Malt	Fruity_aroma	Sour_aroma	Spicy	Sweet_aroma	Sour_flavour	Bitter	Roasted	Sweet_flavour	Fruity_flavour	Floral_flavour	Cocoa	Nutty	Dry mouth	Persistance
1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	2	0	1	0	0	0	2	1	4	0	0	0	0	0	1
0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	2	0	0	0	0	2	3	2	2	0	0	1	0	0	1
0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	2	1	4	0	0	1	0	0	0
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	1	1	2	0	0	0	0	0	2	2	4	0	0	1	0	0	1
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	1	1	0	1	0	0	0	1	0	3	2	3	0	0	1	0	2	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	2	0	0	0	0	2	1	1	2	0	1	1	0	0	0
1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	2	0	1	0	0	0	5	1	2	0	0	1	0	0	2
0	0	1	1	1	0	1	1	0	1	0	0	2	1	0	1	0	0	0	0	0	3	2	3	0	0	0	0	0	1
0	1	1	1	0	1	1	0	1	0	0	0	2	1	0	2	0	0	0	0	0	3	2	2	0	0	1	0	0	0
1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	0	4	2	3	0	0	0	0	0	1
1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0	2
0	1	0	0	0	1	1	1	0	1	1	0	3	1	0	0	0	0	0	1	0	3	1	2	0	3	1	0	0	0
1	1	0	1	1	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	2	3	0	0	0	1	0	0	1
0	1	0	0	0	1	1	1	0	1	1	0	2	1	0	1	0	0	0	1	0	3	2	2	0	0	1	0	0	1
1	0	1	0	0	0	1	1	1	0	1	0	0	2	1	2	0	0	0	0	1	2	1	1	0	0	1	0	0	1
1	1	0	1	1	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	2	3	0	0	0	1	0	1	2
0	0	1	1	1	0	1	1	0	1	0	0	1	2	0	1	0	0	0	1	0	4	2	0	0	0	0	0	0	2
1	1	1	0	1	1	0	1	0	0	0	0	3	1	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	2
0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	2	0	0	2	3	0	1	1	0	0	1
1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	3	1	0	0	0	2	0	1	0
0	0	0	1	1	1	0	1	1	0	1	0	3	2	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	2
1	0	0	0	1	1	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	2	2	0	0	1	0	0	0	0
1	1	0	1	0	0	0	1	1	1	0	0	2	1	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0	1
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	2	2	1	0	1	0	0	0	3	1	0	0	0	1	0	0	1
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	2	2	0	0	0	0	0	0	3	1	0	0	0	1	0	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	2	3	3	0	0	0	1	0	0	0
0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	3	0	0	1	0	0	1	3	0	0	0	2	0	2	1
0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	3	0	0	1	0	3	2	2	0	0	0	1	0	2	0
0	1	1	1	0	1	1	0	1	0	0	0	1	2	0	1	0	0	0	0	0	3	2	2	0	0	0	0	1	0
1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0
1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	2	0	0	2	1	1	2	0	2	0	0	2	0	0	0
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	1	0	3	0	0	1	0	0	2	2	2	0	0	1	0	1	0
0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	3	2	1	0	0	2	0	1	1
0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	3	0	1	0	0	0	2	2	0	0	0	0	0	0	0
1	1	0	1	0	0	0	1	1	1	0	1	2	1	1	1	0	1	0	0	1	2	1	0	0	0	0	0	0	0
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	0	0	1	0	0	0	1	1	1	3	1	0	0	0	2	0	1	0
1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	3	2	0	0	0	1	0	1	0
1	0	0	0	1	1	1	0	1	1	0	0	2	1	0	1	0	0	0	0	0	3	2	1	0	1	0	0	0   0
